ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40122425,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,9
40122426,40.0,39.0,0.0,35.0,40.0,40,35.0,40.0,7.0,14.59,9
40122428,0.0,27.0,0.0,35.0,40.0,40,35.0,34.0,0.1,6.109999999999999,9
40122429,25.0,25.0,35.0,0.0,40.0,40,35.0,39.0,6.4,16.29,9
40122430,37.0,39.0,40.0,35.0,35.0,40,35.0,34.0,2.05,7.8999999999999995,9
40124012,37.0,40.0,40.0,35.0,40.0,40,35.0,26.0,4.7,13.030000000000001,9
40124013,40.0,39.0,40.0,0.0,0.0,40,0.0,0.0,0.5,2.09,9
40124015,37.0,35.0,40.0,35.0,30.0,40,35.0,40.0,3.5,10.620000000000001,9
40124016,40.0,26.5,40.0,35.0,25.0,40,35.0,40.0,5.3,14.315000000000001,9
40124017,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,9
40124018,37.0,37.0,40.0,35.0,35.0,40,0.0,22.0,5.7,16.96,9
40124051,15.0,36.0,18.0,25.0,35.0,40,35.0,0.0,5.1,12.94,9
40124053,0.0,0.0,0.0,5.0,0.0,40,0.0,0.0,5.4,12.850000000000001,9
40124054,25.0,27.0,40.0,20.0,10.0,40,35.0,26.0,3.5,9.33,9
40124056,37.0,37.0,40.0,35.0,40.0,40,35.0,34.0,6.1,15.18,9
40124057,0.0,38.0,40.0,30.0,35.0,40,40.0,40.0,0.1,9.53,9
40124058,22.0,18.0,0.0,35.0,35.0,40,35.0,0.0,2.0,6.65,9
40124059,0.0,0.0,30.0,40.0,30.0,40,0.0,0.0,4.9,11.5,9
40124060,20.0,39.0,0.0,35.0,40.0,40,35.0,40.0,2.7,6.19,9
40124061,0.0,31.0,40.0,0.0,40.0,40,0.0,0.0,4.6,10.709999999999999,9
40125039,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,5.9,10.9,9
40125046,40.0,35.0,40.0,40.0,35.0,40,40.0,40.0,5.1,16.1,9
40125047,35.0,35.0,40.0,40.0,0.0,40,35.0,40.0,4.7,12.55,9
40125048,37.0,23.0,40.0,40.0,25.0,40,35.0,40.0,3.4,7.3,9
40125051,37.0,33.0,40.0,35.0,40.0,40,35.0,40.0,5.4,13.9,9
40128083,40.0,30.0,35.0,30.0,25.0,40,25.0,26.0,3.4,7.91,9
40131017,40.0,40.0,0.0,0.0,40.0,40,35.0,40.0,3.6,9.25,9
40131018,35.0,30.0,35.0,35.0,25.0,40,40.0,32.0,7.0,16.32,9
40131019,27.0,38.0,40.0,35.0,40.0,40,35.0,40.0,7.0,18.75,9
40131020,40.0,36.0,40.0,35.0,40.0,40,40.0,40.0,7.0,19.11,9
40131024,37.0,39.0,38.0,35.0,40.0,40,40.0,32.0,3.2,6.21,9
40131025,0.0,35.0,40.0,25.0,35.0,40,35.0,40.0,5.6,11.3,9
40131027,0.0,35.0,40.0,0.0,40.0,40,0.0,40.0,7.0,14.95,9
40131028,37.0,35.5,34.0,30.0,40.0,40,35.0,40.0,7.0,18.915,9
40131029,40.0,32.0,40.0,40.0,40.0,40,35.0,40.0,4.8,11.870000000000001,9
40131030,20.0,27.0,30.0,35.0,40.0,40,35.0,0.0,4.2,11.77,9
40131059,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,4.9,11.0,9
40131903,0.0,38.0,40.0,40.0,35.0,40,35.0,0.0,1.4,8.98,9
40132011,0.0,30.0,40.0,40.0,25.0,40,40.0,40.0,3.4,9.85,9
40132014,37.0,28.5,35.0,40.0,25.0,40,40.0,40.0,3.45,7.605,9
40132016,37.0,36.5,36.0,35.0,35.0,40,40.0,40.0,7.0,16.995,9
40132017,15.0,0.0,32.0,0.0,0.0,40,30.0,40.0,3.1,8.870000000000001,9
40132040,0.0,0.0,0.0,40.0,0.0,40,0.0,0.0,0.55,2.8499999999999996,9
40132041,25.0,34.0,40.0,40.0,25.0,40,40.0,30.0,4.6,14.34,9
40132043,0.0,35.5,0.0,40.0,0.0,40,40.0,40.0,5.4,7.355,9
40132044,33.0,29.5,36.0,35.0,0.0,40,40.0,40.0,1.1,6.135,9
40132045,0.0,0.0,38.0,20.0,25.0,40,40.0,40.0,0.0,2.03,9
