ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40134017,0.0,32.0,40.0,35.0,15.0,40,35,40.0,2.95,9.92,Dr. Kiani
40134018,0.0,24.0,40.0,40.0,40.0,40,40,40.0,5.2,13.740000000000002,Dr. Kiani
40134019,35.0,33.5,38.0,0.0,0.0,40,35,26.0,1.1,3.8750000000000004,Dr. Kiani
40134020,37.0,33.0,40.0,20.0,40.0,40,35,40.0,3.8,11.05,Dr. Kiani
40134021,0.0,35.0,40.0,0.0,0.0,40,0,26.0,3.5,5.71,Dr. Kiani
40134022,37.0,38.0,40.0,40.0,35.0,40,40,40.0,6.5,14.1,Dr. Kiani
40134023,37.0,36.0,0.0,40.0,40.0,40,0,40.0,4.8,9.43,Dr. Kiani
40134024,23.0,37.0,40.0,35.0,40.0,40,40,34.0,7.0,18.79,Dr. Kiani
40134025,38.0,37.0,40.0,0.0,0.0,40,40,38.0,5.775,12.405000000000001,Dr. Kiani
40134026,22.0,33.0,38.0,31.0,30.0,40,35,34.0,4.2,12.93,Dr. Kiani
40134027,0.0,0.0,0.0,25.0,0.0,40,35,10.0,1.85,6.25,Dr. Kiani
40134029,0.0,0.0,0.0,20.0,0.0,40,0,0.0,0.0,0.6,Dr. Kiani
40134030,40.0,40.0,0.0,35.0,34.0,40,35,26.0,2.9,8.0,Dr. Kiani
40134031,35.0,37.0,40.0,40.0,35.0,40,35,32.0,6.0,17.14,Dr. Kiani
40134032,12.0,28.0,36.0,35.0,40.0,40,40,0.0,4.4,13.81,Dr. Kiani
40134033,10.0,35.0,0.0,0.0,0.0,40,0,0.0,0.0,0.85,Dr. Kiani
40134034,20.0,40.0,40.0,35.0,35.0,40,40,34.0,3.55,10.89,Dr. Kiani
40134035,0.0,33.0,0.0,0.0,35.0,40,40,32.0,4.1,10.1,Dr. Kiani
40134036,0.0,33.0,38.0,33.0,35.0,40,35,28.0,2.7,7.5200000000000005,Dr. Kiani
40024093,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.8,1.2000000000000002,Dr. Rostami
40031101,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,Dr. Rostami
40031104,20.0,0.0,16.0,0.0,0.0,40,0.0,0.0,1.2,1.96,Dr. Rostami
40111428,13.0,0.0,40.0,35.0,35.0,40,40.0,28.0,2.0,5.01,Dr. Rostami
40125401,0.0,0.0,0.0,0.0,40.0,40,0.0,40.0,2.2,4.4,Dr. Rostami
40125405,,,,,,40,,,6.2,6.6000000000000005,Dr. Rostami
40125406,30.0,0.0,40.0,0.0,35.0,40,0.0,0.0,2.4,4.75,Dr. Rostami
40125407,0.0,0.0,38.0,0.0,40.0,40,35.0,40.0,0.0,1.93,Dr. Rostami
40125410,37.0,0.0,36.0,40.0,35.0,40,35.0,40.0,1.5,8.73,Dr. Rostami
40126401,22.0,0.0,40.0,35.0,30.0,40,25.0,13.0,4.7,11.75,Dr. Rostami
40126402,35.0,0.0,40.0,36.0,35.0,40,35.0,38.0,4.5,11.29,Dr. Rostami
40126403,37.0,0.0,0.0,0.0,35.0,40,0.0,0.0,5.2,11.52,Dr. Rostami
40126404,37.0,0.0,0.0,0.0,0.0,40,0.0,0.0,2.6,3.67,Dr. Rostami
40126405,29.0,0.0,40.0,40.0,35.0,40,25.0,40.0,4.1,10.39,Dr. Rostami
40126407,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.8,1.4000000000000001,Dr. Rostami
40127005,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,1.7,6.300000000000001,Dr. Rostami
40127006,0.0,0.0,40.0,0.0,35.0,40,40.0,25.0,2.9,10.0,Dr. Rostami
40127007,0.0,0.0,38.0,35.0,20.0,40,35.0,30.0,1.8,5.08,Dr. Rostami
40127008,0.0,0.0,36.0,36.0,40.0,40,40.0,30.0,1.85,7.470000000000001,Dr. Rostami
40127009,0.0,0.0,38.0,0.0,0.0,40,0.0,0.0,0.2,1.48,Dr. Rostami
40127011,0.0,0.0,40.0,0.0,0.0,40,40.0,22.0,2.3,3.82,Dr. Rostami
40127012,15.0,0.0,36.0,0.0,40.0,40,15.0,36.0,5.4,14.42,Dr. Rostami
40127014,30.0,0.0,40.0,0.0,0.0,40,40.0,32.0,3.3,8.719999999999999,Dr. Rostami
40127015,20.0,0.0,0.0,36.0,35.0,40,35.0,0.0,0.0,1.66,Dr. Rostami
40127034,40.0,0.0,40.0,0.0,35.0,40,35.0,40.0,0.5,4.1,Dr. Rostami
